id,clues,solution,source
2400,007060905090030000064780230400320000002570600000000000000000008300000020000850046,237461985891235764564789231415326897982574613673198452156942378348617529729853146,qqwing
2401,050080010008004000070000004000700800007400053002095100000000030020839000010002009,459283716368174925271956384534761892197428653682395147946517238725839461813642579,qqwing
2402,800050037000007000070800105087003094000000000300284000034009008000020000002410000,826951437145637982973842165287163594461795823359284671634579218518326749792418356,qqwing
2403,000780060000000000060003007700319200130506090000000000020800009078035000309001080,943782165817654923265193847784319256132576498596428371621847539478935612359261784,qqwing
2404,006009180000000002400060035098154000012000000030800000100403000000020000000581003,356249187987315462421768935798154326512637849634892751165473298873926514249581673,qqwing
2405,300000200065080090040570000000000000000030042000820503208050309000000400070200058,387469215165382794942571836723945681856137942491826573218754369539618427674293158,qqwing
2406,013000000060430020000000004020064800000308200001209607000000010900000406042600903,413592768568437129297816354729164835654378291381259647876943512935721486142685973,qqwing
2407,500607910047000008003098050000300070070000106000400009060009047054760001000000800,582647913947513628613298754195386472478925136236471589361859247854762391729134865,qqwing
2408,010002084030798006000100700003026000006004091400980302000800009000003000000000047,715632984234798156689145723193526478826374591457981362542817639978463215361259847,qqwing
2409,390018205040200980000005000800060401400300002000081300200590000000020000000003100,397618245145237986628945713839762451471359862562481397213594678784126539956873124,qqwing
2410,000080740000000006800000231080010070103400000600000002301098007000700010490130800,215386749739241586846957231982615374173429658654873192361598427528764913497132865,qqwing
2411,008016000000000000000703000130500006905007300000049005006000100300008000849000730,798416523413825697562793841134582976925167384687349215276934158351278469849651732,qqwing
2412,700400000009010046045000810600008037380600504004750000500060100000000000100000005,716489352839512746245376819651948237387621594924753681598264173472135968163897425,qqwing
2413,000210000000000500000006000058700910900600007240090006500100020010040080400009060,394215678862437591175986432658724913931658247247391856589163724716542389423879165,qqwing
2414,680790305000000070007300820795080001001009006060073000000800007900050100000000050,682794315359218674147365829795682431231549786864173592513826947928457163476931258,qqwing
2415,070500200038700600106000400200000008007000056000600720380040010005070800001000000,974561283538724691126398475269457138417832956853619724382946517695173842741285369,qqwing
2416,820000040005006280070042000130000850450000027000470000008060000000030008000000160,829153746345796281671842395137629854456318927982475613518267439264931578793584162,qqwing
2417,203004785005030100400000000900800001001090002780000030097300400104000000000040009,213964785865237194479158623936872541541693872782415936697321458124589367358746219,qqwing
2418,408200067070400900009000008000000029000602000000795000004070000006903080052806000,438259167671438952529167348167384529945612873283795614894571236716923485352846791,qqwing
2419,002138000000050000000602000203400001050910003019080000020500030304006010001000640,762138594938754162145692378273465981856917423419283756627541839394876215581329647,qqwing
2420,030000098000060000000007310600009003000004060009010000008400509070900040060053180,735142698491368725286597314617829453852734961349615872128476539573981246964253187,qqwing
2421,902008300070004010030000002420050080000090500000080070000000005000030007009075801,912768354576324918834519762423657189768192543195483276387941625251836497649275831,qqwing
2422,006010000000002070090006004007300602008100000000927000001280090000070500080030000,876413259145892376293756184957348612328165947614927835561284793439671528782539461,qqwing
2423,015024000000005003600870000400080000300006008057140000000000000020060001000401500,915324687278615493643879152462987315391256748857143269136592874524768931789431526,qqwing
2424,000050406408013000000920035000800340000091000020000009900000000041000020800000960,239758416458613297716924835695872341384591672127436589963287154541369728872145963,qqwing
2425,053807000060001090009050000300205000000780006008309751000000100000000035090000068,153897642862431597749652813376215984915784326428369751634528179281976435597143268,qqwing
2426,000310007060092800005006100000000000090700306002003070538200009000000283000600500,289314657761592834345876192673189425894725316152463978538241769416957283927638541,qqwing
2427,906000800135000000000000000200000500090003080008000046020904030409500060000802010,946315827135728694782496351264189573597643182318257946821964735479531268653872419,qqwing
2428,040320000000004000067900000000000200015070000700006001120640050009230040500000700,941328675253764819867951324496513287315872496782496531128647953679235148534189762,qqwing
2429,000090000070005103000100000000079000310000090060300000001703602600000080000506700,123497865974865123856132974485279316312658497769341258591783642637924581248516739,qqwing
2430,302010000084306102000002000750030000000100040600000300870400000016803400000000250,392518764584376192167942835758634921923187546641295387875429613216853479439761258,qqwing
2431,000180000600005300003090571010070068005000000070009000000008019000320005000001020,527183496691745382843296571314572968985614237276839154732458619169327845458961723,qqwing
2432,000000430208009500006073008073000000090508300000020000000000003004000825500002940,719285436238469517456173298873946152692518374145327689921854763364791825587632941,qqwing
2433,000713000000000030000600005000000006105000090708530000007090080910070500030040700,589713462672954138341682975493127856125468397768539241257391684914876523836245719,qqwing
2434,300000700100009080095060001050401007060000008000050000000107009030680004000090500,384512796126749385795368241859421637261973458473856912542137869937685124618294573,qqwing
2435,314008000790034006008500009006000070000000081000000500001050008640800030500070100,314968257795234816268517349826145973459723681137689524971352468642891735583476192,qqwing
2436,705000090900030000010000263073400006000000120001200000496105700000000000007002004,735624891962831475814957263273418956649573128581269347496185732328746519157392684,qqwing
